Video,Sprache,Pausenanteil,Stimm_Centroid_Hz,Praesenz_Lehrkraft,Sentiment_Happy
KR_19.mp4,KR,0.765889580215799,2199.1662178459655,0.06463606734310343,0.3072866812222085
KR_18.mp4,KR,0.49352890422778256,2537.704912956336,0.7930578035592781,0.2575255555233785
DE_18.mp4,DE,0.20212102308172178,2251.1960720716543,0.624110077020267,0.28587309241687
DE_19.mp4,DE,0.4692887931034483,2420.402823935884,0.5214685936915336,0.45378556610508397
DE_09.mp4,DE,0.4447399246525469,2396.592728257397,0.3838056675555172,0.11806308910603715
DE_20.mp4,DE,0.43829163613524547,2029.3967192270861,0.2591135571184046,0.29851554339197844
DE_08.mp4,DE,0.3255668433451119,1905.5669694535127,0.14096147128594308,0.2938855756309968
KR_08.mp4,KR,0.393436729663106,2287.5300811683364,0.5636197961912256,0.11770517782618602
KR_20.mp4,KR,0.45103581178737756,1939.3240854996202,0.4893673201955062,0.47283627706173376
KR_09.mp4,KR,0.7341823938526121,1736.2845461792506,0.2669701271250679,0.1778444315935806
DE_06.mp4,DE,0.434730993874353,2235.9472623211327,0.45880852637189373,0.045860116931863114
DE_12.mp4,DE,0.2755706022151473,1914.5830921373006,0.4823639494400815,0.40424277320145124
KR_04.mp4,KR,0.46782682731752623,1526.668006850003,0.7549083912455055,0.27115551311729685
KR_10.mp4,KR,0.5426265425137738,2222.044822225368,0.13664311390550526,0.1960438204807812
KR_11.mp4,KR,0.2848209991067134,2366.7553196513923,0.013359987205565891,0.169233751291142
KR_05.mp4,KR,0.5905539839256608,1795.7454067160556,0.2769318292309123,0.4047394897788763
DE_13.mp4,DE,0.38250520360783474,2135.6271728105844,0.4294697292338914,0.08992527137542593
DE_07.mp4,DE,0.4417524062396283,2668.239921852414,0.12373903246984945,0.24844933737601552
DE_11.mp4,DE,0.41933136122458564,1927.3600581279484,0.4391030712171033,0.18467949369564804
DE_05.mp4,DE,0.6788803396126294,1838.6528062115522,0.33748338321770166,0.25003982292377647
KR_13.mp4,KR,0.11024467687710124,1776.196261805028,0.23464994933012925,0.43315147276384286
KR_07.mp4,KR,0.810237537638006,2249.179185781078,0.407290391454873,0.1290689160640555
KR_06.mp4,KR,0.4363007743787784,2057.0658471525708,0.33560451814153586,0.1472151949107336
KR_12.mp4,KR,0.38843919626702217,1463.388313488106,0.24538283872988387,0.43939774068164045
DE_04.mp4,DE,0.4140743657535017,3088.3789485788593,0.40255496891730647,0.24103316572013397
DE_10.mp4,DE,0.5763588459161435,2352.71883088822,0.33575163679602194,0.47900953899328114
DE_14.mp4,DE,0.3154476877664808,2296.4198221245183,0.4347540731820183,0.13904674160741481
KR_16.mp4,KR,0.630730666445692,1785.5903912981403,0.24109016783824708,0.22528413961410734
KR_02.mp4,KR,0.23064113238967526,2912.5726145809176,0.4687842998275994,0.4831062810761588
KR_03.mp4,KR,0.027831465017394665,1513.5724522938447,0.7796724365736264,0.23203460226456324
KR_17.mp4,KR,0.5325416364952933,1465.8399858002895,0.05355229052377564,0.16804479970887043
DE_01.mp4,DE,0.27107438016528923,1899.3811494472425,0.9833108584264557,0.10922023095190525
DE_15.mp4,DE,0.27262569832402234,2301.901140760868,0.24283381044868116,0.1332723815526281
DE_03.mp4,DE,0.4813635868973773,2748.226428330769,0.1950608654594204,0.12290371648765752
DE_17.mp4,DE,0.4082139675142211,2285.080618507193,0.47022236926355904,0.20108374378542282
KR_01.mp4,KR,0.21481481481481482,1569.6745731969734,0.10803667142538419,0.3086225161185631
KR_15.mp4,KR,0.5194444444444445,1754.8507521976128,0.24694479387512797,0.22100514456921933
KR_14.mp4,KR,0.7070799149194774,1280.8032258292935,0.0,0.4523793344314282
DE_16.mp4,DE,0.9273834621691263,2439.3264935297375,0.459371432834092,0.12465806198328877
DE_02.mp4,DE,0.5081374321880651,2058.372535026552,0.412706529754218,0.19660186395049095
